"Origin_State"	"Dest_State"	"AllQueries"	"HousingQuery"	"HousingRent"	"HousingBuy"	"HousingApartment"	"HousingCondo"	"HousingDuplex"	"HousingTownhouse"	"HousingHouse"	"HousingHome"	"JobQuery"	"JobArchitectureEngineering"	"JobArt"	"JobBusiness"	"JobConstruction"	"JobEducation"	"JobFinance"	"JobFood"	"JobHealthcare"	"JobLeisureHospitality"	"JobManufacturing"	"JobRetail"	"JobScience"	"JobTechnology"	"JobTransportation"
"Indiana"	"Colorado"	17674	14769	6559	4207	4753	1171	40	277	1092	7436	2905	22	34	38	44	119	85	7	153	21	25	27	18	20	45
"California"	"Nebraska"	17616	14419	4678	4536	3672	788	65	393	986	8515	3197	5	12	13	16	122	129	2	221	11	11	13	7	67	23
"California"	"Connecticut"	17550	15384	2983	4245	2252	1189	120	424	1049	10350	2166	0	12	28	3	139	41	18	86	23	26	13	0	8	67
"Georgia"	"Washington"	17480	14206	5642	4107	4012	794	26	326	1269	7779	3274	19	27	89	73	87	21	26	222	23	10	31	17	35	52
"Arizona"	"Georgia"	17453	14744	5643	5182	3342	661	54	381	1125	9181	2709	6	18	42	20	81	259	11	162	19	17	14	2	16	95
"Tennessee"	"Arizona"	17422	14299	5456	6038	3355	2465	44	241	1072	7122	3123	4	6	51	13	323	35	12	523	34	25	13	7	13	95
"Texas"	"Minnesota"	17407	14392	5234	4952	3871	513	56	847	1408	7697	3015	8	5	41	24	122	47	3	371	17	19	40	24	11	35
"Arizona"	"Michigan"	17384	15278	3414	7077	2299	1646	59	152	1852	9270	2106	19	14	33	14	112	11	6	195	13	13	6	2	4	47
"Mississippi"	"Arkansas"	17383	13959	3677	6771	1980	647	59	51	2006	9216	3424	14	0	36	11	122	51	8	319	20	34	7	3	2	93
"Arizona"	"Minnesota"	17371	15310	4026	5681	2762	808	40	1185	862	9653	2061	5	12	24	10	88	43	13	142	11	27	6	1	78	20
"Florida"	"Minnesota"	17350	15333	4366	6050	2925	952	38	873	1091	9454	2017	3	7	23	18	96	18	11	226	21	11	2	4	5	15
"Ohio"	"Washington"	17305	14403	6193	3558	4851	886	38	194	953	7481	2902	33	30	57	12	112	52	9	199	21	29	18	20	14	29
"Idaho"	"California"	17301	14711	5089	4851	3104	1039	48	108	1121	9291	2590	6	35	22	15	93	22	15	157	28	37	7	7	4	49
"Vermont"	"Florida"	17206	15928	2585	7347	1041	2921	61	80	804	11021	1278	2	5	8	2	64	8	2	105	25	9	18	3	1	15
"Louisiana"	"Georgia"	17136	13721	6779	4730	4188	750	23	344	1462	6954	3415	11	44	87	29	100	53	71	375	45	41	13	24	28	105
"Oregon"	"Colorado"	17129	14697	2499	5972	1756	873	73	170	1483	10342	2432	12	3	31	12	63	17	4	120	17	14	24	5	10	39
"South Dakota"	"Minnesota"	17111	14291	3188	6474	2353	387	36	417	1265	9833	2820	7	7	34	7	75	40	5	372	18	42	6	27	15	22
"New York"	"Maine"	17106	15757	3045	5250	1827	1503	1	49	1953	10424	1349	8	12	24	3	64	23	11	94	11	8	9	8	7	19
"Tennessee"	"Michigan"	17104	15587	3845	7817	2550	1007	33	201	1356	10440	1517	3	10	15	6	68	18	6	212	16	27	12	1	9	40
"Colorado"	"Kansas"	17087	14736	3530	5122	2219	158	50	262	1496	10551	2351	3	18	44	14	49	19	4	183	13	13	9	4	3	49
"New Jersey"	"Tennessee"	17052	14224	4929	5550	3233	1003	26	224	1370	8368	2828	10	65	52	21	50	50	40	237	18	20	23	0	10	59
"Tennessee"	"Indiana"	17029	13780	6551	4546	4677	562	52	141	1618	6730	3249	2	6	48	8	157	263	35	413	21	34	11	7	4	122
"Massachusetts"	"Pennsylvania"	16957	13817	4714	4932	3527	707	28	238	1803	7514	3140	6	37	80	13	165	41	17	232	21	38	17	18	26	53
"Colorado"	"Utah"	16956	14646	4348	4593	2860	1032	36	347	864	9507	2310	22	4	25	33	63	26	5	104	14	11	10	15	17	75
"Utah"	"Colorado"	16932	13928	5508	4155	3539	631	28	485	1088	8157	3004	12	19	33	26	87	39	21	248	39	39	25	12	13	53
"Illinois"	"Massachusetts"	16879	14640	4081	6724	3440	1332	22	534	1010	8302	2239	11	21	65	20	103	52	9	146	14	6	9	13	17	17
"Texas"	"Wisconsin"	16857	13927	5233	5125	3836	955	141	200	1300	7495	2930	8	22	61	12	85	58	14	232	12	79	7	7	11	55
"Oregon"	"Nevada"	16856	14572	3289	5952	1933	1768	23	101	857	9890	2284	1	27	17	39	65	12	32	154	83	8	5	4	3	123
"Florida"	"Maine"	16822	15864	2838	6605	1664	1284	12	32	2351	10521	958	3	4	14	6	40	19	12	114	11	4	5	1	3	10
"Iowa"	"California"	16797	14155	5398	4892	3886	1136	35	215	1401	7482	2642	10	56	42	15	93	70	13	189	47	28	12	6	23	44
"Maryland"	"Ohio"	16785	12799	4861	5214	3567	706	70	182	1653	6621	3986	15	24	82	15	177	55	25	310	19	53	23	11	24	73
"Tennessee"	"Colorado"	16719	14013	6052	4501	3942	1232	28	329	1122	7360	2706	8	33	34	20	80	42	13	341	12	22	14	23	15	64
"Arizona"	"Idaho"	16635	14215	2301	4794	1225	727	53	175	570	11465	2420	13	17	23	20	61	30	6	138	16	8	5	3	5	18
"New York"	"New Hampshire"	16596	15223	3407	5339	2451	1536	60	157	1268	9751	1373	3	8	26	10	65	16	8	244	6	17	10	3	7	12
"Texas"	"New Jersey"	16589	14741	5251	4614	3867	1054	47	552	1110	8111	1848	2	1	31	17	86	38	3	86	29	11	10	2	4	44
"Maine"	"Massachusetts"	16587	14260	4019	5832	3257	1716	8	74	1339	7866	2327	17	250	56	13	64	50	19	225	22	5	9	17	17	23
"Tennessee"	"Louisiana"	16550	12949	5207	4776	3112	536	19	201	1729	7352	3601	16	30	59	26	110	54	19	500	48	19	32	26	33	69
"California"	"Kansas"	16516	14405	3539	4756	2209	169	93	229	1116	10589	2111	31	7	14	5	72	34	5	105	5	15	8	7	16	31
"Texas"	"Kentucky"	16433	13528	5094	4896	3264	512	57	278	1430	7987	2905	11	13	55	13	123	38	5	167	10	62	24	5	11	138
"Minnesota"	"North Carolina"	16389	13670	6664	3765	4301	1029	127	566	1341	6306	2719	3	13	90	15	71	81	9	206	19	20	11	26	3	64
"Arizona"	"Ohio"	16355	12985	4284	4822	3032	878	34	143	1472	7426	3370	3	17	66	9	113	113	4	195	1070	12	23	3	9	48
"New York"	"Vermont"	16335	14282	2767	5355	1768	1812	15	76	1574	9037	2053	5	15	25	14	52	31	8	179	13	11	6	31	11	23
"Missouri"	"Iowa"	16303	12812	4229	4134	2539	347	273	252	1739	7662	3491	19	14	45	13	64	74	6	338	23	20	28	6	6	50
"North Carolina"	"Illinois"	16278	12134	4947	4367	3493	955	52	358	1475	5801	4144	16	30	71	22	156	100	5	1410	30	48	26	15	23	63
"Maryland"	"Colorado"	16272	13115	4262	5004	2958	1461	20	650	841	7185	3157	16	53	70	29	106	38	24	160	19	20	9	9	38	42
"North Carolina"	"Arizona"	16257	13143	5090	4640	2930	786	13	228	1029	8157	3114	16	24	43	21	604	28	9	215	21	13	12	17	8	49
"Connecticut"	"Rhode Island"	16253	14400	3661	6278	2232	1930	16	41	1975	8206	1853	2	5	27	2	102	17	49	150	29	1	18	0	3	21
"Georgia"	"Michigan"	16251	14066	5442	5515	3701	1050	45	367	1556	7347	2185	5	13	38	13	69	22	3	226	23	16	13	3	26	46
"New Jersey"	"Colorado"	16217	13547	4860	4177	3661	1037	13	432	935	7469	2670	39	25	50	23	118	53	26	133	27	31	36	12	21	32
"Michigan"	"Nevada"	16188	12928	5886	4401	4141	2148	34	126	782	5697	3260	11	10	40	28	78	10	10	671	143	27	6	6	17	83
"Alaska"	"Washington"	16160	13975	3173	4884	2218	914	46	80	1311	9406	2185	23	14	49	13	63	25	4	177	18	11	9	14	15	29
"Massachusetts"	"Virginia"	16147	13988	4721	4622	3356	1134	11	299	1088	8100	2159	6	8	38	13	86	70	5	188	17	13	4	13	9	54
"North Carolina"	"Washington"	16111	13798	5243	4016	3637	1298	38	202	1000	7623	2313	9	17	32	22	55	25	14	149	12	14	5	13	27	30
"Louisiana"	"California"	15856	12953	6195	4176	4381	935	62	243	1157	6175	2903	12	48	77	28	107	27	14	246	61	14	7	19	30	59
"New York"	"Alabama"	15855	13740	3596	6294	2475	1319	22	117	1141	8666	2115	18	11	24	19	56	81	2	197	15	8	5	5	9	34
